White Ball,White Probability (%),Red Ball,Red Probability (%)
1,1.4493,1.0,3.8462
2,1.4493,2.0,3.8462
3,1.4493,3.0,3.8462
4,1.4493,4.0,3.8462
5,1.4493,5.0,3.8462
6,1.4493,6.0,3.8462
7,1.4493,7.0,3.8462
8,1.4493,8.0,3.8462
9,1.4493,9.0,3.8462
10,1.4493,10.0,3.8462
11,1.4493,11.0,3.8462
12,1.4493,12.0,3.8462
13,1.4493,13.0,3.8462
14,1.4493,14.0,3.8462
15,1.4493,15.0,3.8462
16,1.4493,16.0,3.8462
17,1.4493,17.0,3.8462
18,1.4493,18.0,3.8462
19,1.4493,19.0,3.8462
20,1.4493,20.0,3.8462
21,1.4493,21.0,3.8462
22,1.4493,22.0,3.8462
23,1.4493,23.0,3.8462
24,1.4493,24.0,3.8462
25,1.4493,25.0,3.8462
26,1.4493,26.0,3.8462
27,1.4493,,
28,1.4493,,
29,1.4493,,
30,1.4493,,
31,1.4493,,
32,1.4493,,
33,1.4493,,
34,1.4493,,
35,1.4493,,
36,1.4493,,
37,1.4493,,
38,1.4493,,
39,1.4493,,
40,1.4493,,
41,1.4493,,
42,1.4493,,
43,1.4493,,
44,1.4493,,
45,1.4493,,
46,1.4493,,
47,1.4493,,
48,1.4493,,
49,1.4493,,
50,1.4493,,
51,1.4493,,
52,1.4493,,
53,1.4493,,
54,1.4493,,
55,1.4493,,
56,1.4493,,
57,1.4493,,
58,1.4493,,
59,1.4493,,
60,1.4493,,
61,1.4493,,
62,1.4493,,
63,1.4493,,
64,1.4493,,
65,1.4493,,
66,1.4493,,
67,1.4493,,
68,1.4493,,
69,1.4493,,
